category,book_name,author,publisher,publishDate,price
小说,檀香刑,莫言,浙江文艺出版社,2017-1,56.00元
小说,房思琪的初恋乐园,林奕含,北京联合出版公司,2018-2,45.00元
小说,鳄鱼,莫言,浙江文艺出版社,2023-6,56.00元
小说,坚,徐英瑾,广西师范大学出版社,2023-4,198.00
小说,杀死一只知更鸟,[美] 哈珀·李,译林出版社,2012-9,32.00元
小说,你的夏天还好吗？,[韩国] 金爱烂,人民文学出版社,2022-10-15,48.00元
小说,在森崎书店的日子,八木泽里志,南海出版公司,2020-3-1,55.00
小说,罗杰疑案,[英] 阿加莎·克里斯蒂,新星出版社,2013-3,28.00元
小说,小径分岔的花园,[阿根廷] 豪·路·博尔赫斯,上海译文出版社,2015-7,23.00
小说,西线无战事,[德] 埃里希·玛丽亚·雷马克,上海文艺出版社,2021-1,49
小说,百年孤独,[哥伦比亚] 加西亚·马尔克斯,南海出版公司,2011-6,39.50元
小说,大松鸡,[法] 米歇尔·图尼埃,河南文艺出版社,2023-6-12,68
小说,莱博维茨的赞歌,[美] 小沃尔特·M.米勒,北京日报出版社,2023-4,49.9元
小说,金色梦乡,[日] 伊坂幸太郎,南海出版公司,2016-11,69.00元
小说,1984,[英] 乔治·奥威尔,北京十月文艺出版社,2010-4-1,28.00
小说,小镇索雷斯,[加] 玛丽·劳森,译林出版社,2023-6,58.00
小说,密室黄金时代的杀人事件,[日] 鸭崎暖炉,北京日报出版社,2023-3,49.80元
小说,冬泳,班宇,上海三联书店,2018-9,49.00元
小说,一行杀人的台词,[英国] 安东尼·霍洛维茨,新星出版社,2023-5,55.00元
小说,斯通纳,[美] 约翰·威廉斯,上海人民出版社,2016-1,49.00元
小说,台北人,白先勇,广西师范大学出版社,2010-10,38.00元
小说,鹿川有许多粪,李沧东,武汉大学出版社,2021-8,58.00元
小说,我的骨头会唠嗑,廖小刀、刘八百,金城出版社,2023-4,96.00元
小说,潮汐图,林棹,上海文艺出版社,2022-1,58.00
小说,显微镜下的大明,马伯庸,湖南文艺出版社,2019-1,52.00元
小说,第七天,余华,新星出版社,2018-8,39.5
小说,太冷、太热、太早、太迟,[比] 托马斯·冈兹格,花城出版社,2023-6,59.80元
小说,新名字的故事,[意] 埃莱娜·费兰特,人民文学出版社,2017-4,59.00元
小说,天珠传奇,费滢,北京日报出版社,2023-4,56.00元
小说,晚菊,[日]林芙美子,北京联合出版公司,2023-5,52.00元
小说,克拉拉与太阳,[英] 石黑一雄,上海译文出版社,2021-3,68.00
小说,马可瓦尔多,[意] 伊塔洛·卡尔维诺,译林出版社,2020-1,42.00元
小说,呼吸秋千,[德] 赫塔·米勒,贵州人民出版社,2023-2,68.00元
小说,人虎,[印尼]埃卡·古尼阿弯,民主与建设出版社,2023-5,52
小说,边城,沈从文、黄永玉 卓雅 插图.,北岳文艺出版社,2002-4,12.00元
小说,两度,[法]弗兰克·蒂利耶,北京联合出版公司,2023-3,68.00元
小说,失明症漫记,[葡] 若泽·萨拉马戈,南海出版公司,2014-2,29.50
小说,关于女儿,[韩] 金惠珍,广西师范大学出版社,2022-10,42.00元
小说,围城,钱锺书,人民文学出版社,1991-2,19.00
小说,兄弟,余华,作家出版社,2012-9-1,43.00元
小说,地下室手记,(俄罗斯) 陀思妥耶夫斯基,浙江文艺出版社,2020-5,39.8
小说,刀锋,[英]毛姆,上海译文出版社,2007-3,18.00元
小说,寻找金福真,南山,贵州人民出版社,2023-3,58.00元
小说,蛤蟆先生去看心理医生,[英] 罗伯特·戴博德,天津人民出版社,2020-8-1,38.00元
小说,绿毛水怪,王小波,北京十月文艺出版社,2018-6,39.00元
小说,晚春,三三,上海文艺出版社,2023-4-30,59.00
小说,无尽夏夜,[瑞典] 托夫·阿尔斯特达尔,梁颂宇,四川人民出版社,2023-4
小说,小巷人家,王小兰,合肥工业大学出版社,2013-10-1,30.00元
小说,失踪的孩子,[意] 埃莱娜·费兰特,人民文学出版社,2018-7,62.00元
小说,未完成的手稿,[法]弗兰克·蒂利耶,北京联合出版公司,2022-10,68.00元
小说,棋王·树王·孩子王,阿城,江苏凤凰文艺出版社,2016-3-1,58.00
小说,五号屠场,[美] 库尔特·冯内古特,河南文艺出版社,2022-7-1,59.90元
小说,推理群星闪耀时,[日] 江户川乱步(编),浙江文艺出版社,2023-5,98.00元
小说,离开的，留下的,[意] 埃莱娜·费兰特,人民文学出版社,2017-10,62.00元
小说,克莱因壶,[日]冈岛二人,化学工业出版社,2019-9,48.00元
小说,未来学大会,[波] 斯坦尼斯瓦夫·莱姆,译林出版社,2021-8,42.00元
小说,树上的男爵,[意大利]伊塔洛·卡尔维诺,译林出版社,2012-4-1,30.00元
小说,局外人,柳鸣九,上海译文出版社,2013-8,32元
小说,平面国,埃德温·A·艾勃特,上海文化出版社,2020-8,39.80元
小说,杀手的记忆法,[韩] 金英夏,卢鸿金,国际文化出版公司,2023-4-27
小说,不能承受的生命之轻,[捷克] 米兰·昆德拉,上海译文出版社,2014-6,46.00元
小说,浮云,[日] 林芙美子,北京联合出版公司,2023-6,52
小说,99%诱拐,[日] 冈岛二人,化学工业出版社,2020-11,48.00元
小说,局外人,[法] 阿尔贝·加缪,上海译文出版社,2010-8,22.00元
小说,故事只讲了一半,万玛才旦,中信出版集团,2022-3,59.00
小说,82年生的金智英,[韩]赵南柱,贵州人民出版社,2019-8,45.00元
小说,长安十二时辰 上,马伯庸,湖南文艺出版社,2016-11-21,39.80元
小说,平凡的世界,路遥,北京十月文艺出版社,2012-3-1,CNY 79.80
小说,唐人街内部,[美] 游朝凯,广西师范大学出版社,2023-5,59.00
小说,美丽新世界,【英】奥尔德斯·赫胥黎,上海译文出版社,2017-6,45.00元
小说,丰乳肥臀,莫言,浙江文艺出版社,2017-1,49.00
小说,荒原狼,[德] 赫尔曼·黑塞,浙江文艺出版社,2023-3,59.8
小说,隧道,埃内斯托·萨瓦托,译林出版社,2023-5,58.00
小说,一日三秋,刘震云,花城出版社,2021-7,58
小说,云边有个小卖部,张嘉佳,湖南文艺出版社,2018-7,42.00元
小说,狂飙,徐纪周、朱俊懿、白文君,青岛出版社,2023-2,68.00元
